[2025-10-18 15:10:05] 🔄 Falling back to Go backend: {"participant_id": "PA_mock_user", "participant_identity": "mock_user", "question": ["What is the revenue generated in the last month."]}
[2025-10-18 15:13:17] 🔄 Falling back to Go backend: {"participant_id": null, "participant_identity": null, "question": ["I want to know the revenue generated as last month"]}
[2025-10-18 15:38:38] 🔄 Falling back to Go backend: {"participant_Id": "PA_SVhzr2CofRNj", "participant_identity": "voice_assistant_user_5418", "question": ["I want to know the revenue generated in the last month"]}
[2025-10-21 17:11:56] 🔄 Falling back to Go backend: {"customer_id": "PA_JjWmvKNoQbmu", "query_text": ["What is the cause for taper card."], "answer": "", "query_status": 0}
[2025-10-21 17:15:15] 🔄 Falling back to Go backend: {"customer_id": "PA_AZA89ep5zGVW", "query_text": ["What is the course for tablecut."], "answer": "", "query_status": 0}
[2025-10-21 17:17:23] 🔄 Falling back to Go backend: {"customer_id": "PA_dpZrpXZuhuQh", "query_text": ["What is the cost of taper fade cut."], "answer": "", "query_status": 0}
[2025-10-21 17:25:24] 🔄 Falling back to Go backend: {"customer_id": "PA_Bg9EJL8huaCE", "query_text": ["What is the cost for taper fed cut."], "answer": "", "query_status": 0}
[2025-10-21 19:47:19] 🔄 Falling back to Go backend: {"customer_id": "PA_htnyU8rqcGxT", "query_text": ["I want to know if there's a tip of a available at the slawn"], "answer": "", "query_status": 0}
[2025-10-21 19:49:36] 🔄 Falling back to Go backend: {"customer_id": "PA_yom4NkmKVARt", "query_text": "Step of aid available.", "answer": "", "query_status": 0}
[2025-10-22 13:02:24] 🔄 Falling back to Go backend: {"customer_id": "PA_pqu542vu3iNk", "query_text": "Is the cost to get a buzz cut.", "answer": "", "query_status": 0}
[2025-10-22 13:46:28] 🔄 Falling back to Go backend: {"customer_id": "PA_rFu3H6nnujvf", "query_text": "What is to get a deeper low fade", "answer": "", "query_status": 0}
[2025-10-22 13:47:43] 🔄 Falling back to Go backend: {"customer_id": "PA_rFu3H6nnujvf", "query_text": "What is the price to get a deeper low fade.", "answer": "", "query_status": 0}
[2025-10-22 13:48:26] 🔄 Falling back to Go backend: {"customer_id": "PA_rFu3H6nnujvf", "query_text": "What is the price to get deeper low fade", "answer": "", "query_status": 0}
[2025-10-22 13:49:03] 🔄 Falling back to Go backend: {"customer_id": "PA_rFu3H6nnujvf", "query_text": "What is the price to get a deeper low fade.", "answer": "", "query_status": 0}
[2025-10-22 13:49:16] 🔄 Falling back to Go backend: {"customer_id": "PA_rFu3H6nnujvf", "query_text": "What is the pro buzz cut.", "answer": "", "query_status": 0}
[2025-10-22 13:51:36] 🔄 Falling back to Go backend: {"customer_id": "PA_5QK9bTofaQzQ", "query_text": "What is the cost to get a mullet cut.", "answer": "", "query_status": 0}
[2025-10-22 13:52:11] 🔄 Falling back to Go backend: {"customer_id": "PA_5QK9bTofaQzQ", "query_text": "What is the cost to get a mullet cut.", "answer": "", "query_status": 0}
[2025-10-22 13:53:54] 🔄 Falling back to Go backend: {"customer_id": "PA_ns7dggqbqNHa", "query_text": "What is the cause to get a mullet cut", "answer": "", "query_status": 0}
[2025-10-22 13:55:14] 🔄 Falling back to Go backend: {"customer_id": "PA_DDV8JyBZpV3w", "query_text": "What is the price to get amoled cut.", "answer": "", "query_status": 0}
